id,name,email,city,stream,fee
1,Mohan Das,mohan@gmail.com,New Delhi,BTech IT,100000
2,Karam Chand,karam@gmail.com,Delhi,BTech CS,100000
3,Kishore Kumar,kishore@yahoo.com,Gurgaon,BTech EE,130000
4,Jatin Singh,jatin@rediffmail.com,Faridabad,BTech CS,100000
5,Mandeep Malhotra,mandeep@yahoo.com,Ludhiana,BTech E,120000
6,Sandeep Sharma,sandeep@gmail.com,Ambala,BTech Pharm,150000
9,Pardeep Sharma,pardeep@gmail.com,Devigarh,BTech CSE,100000
11,Mandeep Singh,mandeep@gmail.com,Chandigarh,BTech IT,100000
13,Kishore Kumar,kishore@kishore.com,Mumbai,BPharma,15000
14,Poonam Sharma,poonam@gmail.com,Mangalore,BPharma,15000
